ID,NAME,FUNDING_ROUND_ID
c7534906-5cd6-8942-f4b5-ca70a7a71d70,National Council for Social Security Fund,f57c7735-3064-87f0-5989-bbf868592d5c
b8273386-9845-4af9-9bcf-e114fe4d2787,China Investment Corporation,f57c7735-3064-87f0-5989-bbf868592d5c
