ID,NAME,FUNDING_ROUND_ID
c7534906-5cd6-8942-f4b5-ca70a7a71d70,National Council for Social Security Fund,f57c7735-3064-87f0-5989-bbf868592d5c
197b44dd-8f7d-4e40-8c15-b11c381e100b,CCB International,f57c7735-3064-87f0-5989-bbf868592d5c
